Date,HR (Min),HR (Average),HRV (Average)
2022-01-09,45,50.42,27
2022-01-10,45,49.16,29
2022-01-11,46,50.01,25
2022-01-12,48,54.47,24
2022-01-13,46,49.84,30
2022-01-14,46,49.76,27
2022-01-15,43,47.21,31
2022-01-16,47,50.44,28
2022-01-17,45,51.52,25
2022-01-18,45,51.63,27
2022-01-19,45,50.41,28
2022-01-20,45,49.06,30
2022-01-21,47,50.76,26
2022-01-22,47,53.86,24
2022-01-23,47,51.25,25
2022-01-24,45,49.76,27
2022-01-25,45,49.11,28
2022-01-26,45,50.66,27
2022-01-27,45,50.67,27
2022-01-28,48,52.57,22
2022-01-29,46,50.2,31
2022-01-30,46,51.8,25
2022-01-31,47,52.84,31
2022-02-01,46,51.01,29
2022-02-02,46,51.74,26
2022-02-03,44,48.92,32
2022-02-04,47,54.1,22
2022-02-05,47,51.74,28
2022-02-06,47,51.31,28
2022-02-07,45,48.67,30
2022-02-08,45,49.74,26
2022-02-09,45,50.6,24
2022-02-10,47,51.62,26
2022-02-11,46,49.39,28
2022-02-12,46,52.08,26
2022-02-13,45,50.8,27
2022-02-14,45,49.02,29
2022-02-15,45,49.71,28
2022-02-16,45,50.65,27
2022-02-17,45,48.77,27
2022-02-18,48,53.08,24
2022-02-19,47,50.68,28
2022-02-20,48,54.03,26
2022-02-21,47,51.2,25
2022-02-22,46,51.17,26
2022-02-23,46,52.68,29
2022-02-24,43,48.67,29
2022-02-25,45,49.03,24
2022-02-26,49,52.85,24
2022-02-27,48,53.72,23
2022-02-28,45,51.37,25
2022-03-01,46,50.46,24
2022-03-02,49,53.51,21
2022-03-03,50,55.41,19
2022-03-04,49,54.14,22
2022-03-05,47,51,25
2022-03-06,49,52.2,25
2022-03-07,47,51.61,24
2022-03-08,48,52.21,23
2022-03-09,48,52.84,24
2022-03-10,45,51.64,31
2022-03-11,47,52.6,25
2022-03-12,46,51.31,25
2022-03-13,47,51.2,26
2022-03-14,50,54.74,20
2022-03-15,53,59.54,20
2022-03-16,48,55.45,24
2022-03-17,47,51.12,28
2022-03-18,46,52.08,22
2022-03-19,46,50.19,26
2022-03-20,43,48.46,33
2022-03-21,47,54.41,23
2022-03-22,48,50.11,23
2022-03-23,48,53.43,20
2022-03-24,48,51.82,23
2022-03-25,47,52.18,23
2022-03-26,48,51.52,27
2022-03-27,47,50.88,24
2022-03-28,46,49.48,26
2022-03-29,47,52.62,22
2022-03-30,47,50.24,25
2022-03-31,50,53.51,21
2022-04-01,48,51.74,26
2022-04-02,47,51.65,25
2022-04-03,50,54.45,21
2022-04-04,48,53.11,21
2022-04-05,49,54.15,20
2022-04-06,44,50.11,25
2022-04-07,49,53.87,19
2022-04-08,48,52.32,24
2022-04-09,47,51.3,25
2022-04-10,46,50.5,26
2022-04-11,48,51.34,23
2022-04-12,48,51.77,21
